timestamp	route	count	firstDetail
1784813625434	/basquin/search?q=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA&cat=Misc	2	latency: 509ms > 250ms
1784813625567	/roller-ui/login.rol	1	heapDelta: 1629KB > 512KB
1784813625770	/roller-ui/menu.rol	1	heapDelta: 1694KB > 512KB
1784813625851	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1694KB > 512KB
1784813625932	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1777KB > 512KB
1784813626014	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1693KB > 512KB
1784813626096	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1738KB > 512KB
1784813626597	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1673KB > 512KB
1784813626786	/roller-ui/login.rol	1	heapDelta: 1668KB > 512KB
1784813627017	/roller-ui/menu.rol	1	heapDelta: 1612KB > 512KB
1784813627099	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1628KB > 512KB
1784813627180	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1623KB > 512KB
1784813627260	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1760KB > 512KB
1784813627339	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1706KB > 512KB
1784813627484	/basquin/entry/bench-entry-40	1	heapDelta: 2539KB > 512KB
1784813627623	/basquin/feed/entries/rss?cat=Misc	1	heapDelta: 8571KB > 512KB
1784813627760	/roller-ui/login.rol	1	heapDelta: 1542KB > 512KB
1784813627998	/roller-ui/menu.rol	1	heapDelta: 1673KB > 512KB
1784813628104	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1685KB > 512KB
1784813628186	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1622KB > 512KB
1784813628267	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1715KB > 512KB
1784813628349	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1719KB > 512KB
1784813629118	/basquin/search?q=tqyesgz	2	latency: 508ms > 250ms
1784813630078	/basquin/search?q=render	2	latency: 523ms > 250ms
1784813630231	/basquin/category/Benchmarks	1	heapDelta: 5723KB > 512KB
1784813630497	/roller-ui/login.rol	1	heapDelta: 1662KB > 512KB
1784813630876	/roller-ui/login.rol	1	heapDelta: 1584KB > 512KB
1784813631107	/roller-ui/menu.rol	1	heapDelta: 1725KB > 512KB
1784813631188	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1712KB > 512KB
1784813631267	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1678KB > 512KB
1784813631347	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1645KB > 512KB
1784813631427	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1587KB > 512KB
1784813631570	/roller-ui/register.rol	1	heapDelta: 2803KB > 512KB
1784813631966	/roller-ui/login.rol	1	heapDelta: 4899KB > 512KB
1784813632197	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1675KB > 512KB
1784813632773	/roller-ui/login.rol	1	heapDelta: 1704KB > 512KB
1784813633003	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1731KB > 512KB
1784813633245	/basquin/date/20260715	1	heapDelta: 1969KB > 512KB
1784813633377	/roller-ui/login.rol	1	heapDelta: 1669KB > 512KB
1784813633609	/roller-ui/menu.rol	1	heapDelta: 1653KB > 512KB
1784813633689	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1730KB > 512KB
1784813633769	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1574KB > 512KB
1784813633850	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1697KB > 512KB
1784813633930	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1782KB > 512KB
1784813634064	/roller-ui/login.rol	1	heapDelta: 1725KB > 512KB
1784813634296	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1826KB > 512KB
1784813634484	/roller-ui/login.rol	1	heapDelta: 1724KB > 512KB
1784813634721	/roller-ui/menu.rol	1	heapDelta: 1605KB > 512KB
1784813634802	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1647KB > 512KB
1784813634883	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1589KB > 512KB
1784813634964	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1620KB > 512KB
1784813635046	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1531KB > 512KB
1784813635182	/basquin/date/20260423	1	heapDelta: 764KB > 512KB
1784813635338	/basquin/date/202608	1	heapDelta: 9978KB > 512KB
1784813635474	/roller-ui/login.rol	1	heapDelta: 1583KB > 512KB
1784813635706	/roller-ui/menu.rol	1	heapDelta: 1682KB > 512KB
1784813635786	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1642KB > 512KB
1784813635866	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1691KB > 512KB
1784813635946	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1679KB > 512KB
1784813636031	/roller-ui/admin/globalConfig.rol	1	heapDelta: 4991KB > 512KB
1784813636429	/roller-ui/login.rol	1	heapDelta: 1615KB > 512KB
1784813636660	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1682KB > 512KB
1784813637167	/roller-ui/login.rol	1	heapDelta: 1791KB > 512KB
1784813637569	/basquin/	1	heapDelta: 1574KB > 512KB
1784813638232	/basquin/search?q=cpbjchm	2	latency: 508ms > 250ms
1784813638501	/roller-ui/login.rol	1	heapDelta: 1665KB > 512KB
1784813639151	/basquin/search?q=basquin	2	latency: 520ms > 250ms
1784813639686	/roller-ui/login.rol	1	heapDelta: 1717KB > 512KB
1784813639888	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1952KB > 512KB
1784813640352	/roller-ui/login.rol	1	heapDelta: 4930KB > 512KB
1784813640877	/basquin/date/20260515	1	heapDelta: 917KB > 512KB
1784813641009	/roller-ui/login.rol	1	heapDelta: 1624KB > 512KB
1784813641216	/roller-ui/menu.rol	1	heapDelta: 1553KB > 512KB
1784813641297	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1673KB > 512KB
1784813641377	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1621KB > 512KB
1784813641457	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1742KB > 512KB
1784813641537	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1748KB > 512KB
1784813641676	/roller-ui/register.rol	1	heapDelta: 2868KB > 512KB
1784813642246	/roller-ui/login.rol	1	heapDelta: 1657KB > 512KB
1784813642478	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1705KB > 512KB
1784813642554	/basquin/	1	heapDelta: 10053KB > 512KB
1784813643109	/basquin/date/202607	1	heapDelta: 10056KB > 512KB
1784813643334	/roller-ui/login.rol	1	heapDelta: 1743KB > 512KB
1784813643566	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1676KB > 512KB
1784813643758	/basquin/feed/entries/rss?cat=Tech	1	heapDelta: 8705KB > 512KB
1784813643903	/basquin/entry/bench-entry-23	1	heapDelta: 2485KB > 512KB
1784813644669	/roller-ui/menu.rol	1	heapDelta: 1666KB > 512KB
1784813644748	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1640KB > 512KB
1784813644828	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1570KB > 512KB
1784813644908	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1589KB > 512KB
1784813644987	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1604KB > 512KB
1784813645129	/basquin/?page=524	1	heapDelta: 1007KB > 512KB
1784813645397	/basquin/date/202605	1	heapDelta: 776KB > 512KB
1784813645528	/roller-ui/login.rol	1	heapDelta: 1700KB > 512KB
1784813645756	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1739KB > 512KB
1784813646489	POST /basquin/entry/bench-entry-12 method=post&name=Fuzz+${{@nonce}}&email=fuzz@example.com&url=&content=Comment+${{@nonce}}+mbfsljxfkppmhfmanakmyguzplevdymiaywhluwslgznhzvkonxqvwwrrrypfsshjerwte xrvywjlkb sdofhegavandschtifzmtp&post=Post	1	latency: 548ms > 250ms
1784813646581	/basquin/feed/comments/rss	1	heapDelta: 784KB > 512KB
1784813647263	/basquin/search?q=cvhzcbdkj&cat=Notes	2	latency: 508ms > 250ms
1784813647911	POST /basquin/entry/bench-entry-40 method=post&name=Fuzz+${{@nonce}}&email=fuzz@example.com&url=&content=Comment+${{@nonce}}+nbvufcslhjuqsstejfibbildgtjvssbtwuotlpmrmjfw vlmvvfshmbaurqksfydoprrprcch ccgeadwobepwbmskj&post=Post	2	latency: 514ms > 250ms
1784813648093	/roller-ui/login.rol	1	heapDelta: 1720KB > 512KB
1784813648317	/roller-ui/menu.rol	1	heapDelta: 1616KB > 512KB
1784813648398	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1706KB > 512KB
1784813648482	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 2790KB > 512KB
1784813648563	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1700KB > 512KB
1784813648643	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1666KB > 512KB
1784813648939	/basquin/category/Availability	1	heapDelta: 5501KB > 512KB
1784813649080	/basquin/feed/comments/rss	1	heapDelta: 730KB > 512KB
1784813649733	/basquin/search?q=velocity	2	latency: 518ms > 250ms
