Class Name, Initialization Kind, Reason for Initialization
com.fasterxml.jackson.core.JsonGenerator$Feature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonGenerator$Feature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JsonProcessingException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonStreamContext, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.SerializableString, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.StreamReadConstraints, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.StreamWriteConstraints, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.TokenStreamFactory, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.Versioned, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.base.GeneratorBase, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.exc.StreamConstraintsException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.exc.StreamWriteException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.CharTypes, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.CharTypes$AltEscapes, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.ContentReference, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.IOContext, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.NumberOutput, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.SegmentedStringWriter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.SerializedString, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.schubfach.DoubleToDecimal, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.schubfach.FloatToDecimal, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.schubfach.MathUtils, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.json.DupDetector, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.json.JsonGeneratorImpl, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.json.JsonWriteContext, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.json.JsonWriteFeature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.json.JsonWriteFeature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.BufferRecycler, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.BufferRecycler$Gettable, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.BufferRecyclers, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.JacksonFeature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.JacksonFeature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.util.JsonRecyclerPools, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.JsonRecyclerPools$NonRecyclingPool, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.JsonRecyclerPools$ThreadLocalPool, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.RecyclerPool, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.RecyclerPool$NonRecyclingPoolBase, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.RecyclerPool$ThreadLocalPoolBase, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.RecyclerPool$WithPool, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.util.TextBuffer, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.oracle.svm.common.option.CommonOptionParser, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$$Lambda/0x0000000038466910, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.common.option.CommonOptionParser$$Lambda/0x0000000038467208, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.common.option.CommonOptionParser$BooleanOptionFormat, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$BooleanOptionFormat[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.common.option.CommonOptionParser$OptionParseResult, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.LocatableOption, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.LocatableOption$LocatableOptionValue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.UnsupportedOptionClassException, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ClassNameSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ConditionalElement, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ConfigurationBase, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ConfigurationFile, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ConfigurationFile[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.ConfigurationTypeDescriptor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ConfigurationTypeDescriptor$$Lambda/0x0000000038464db8, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.ConfigurationTypeDescriptor$Kind, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ConfigurationTypeDescriptor$Kind[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.ConfigurationTypeDescriptor[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.LambdaConfigurationTypeDescriptor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.LambdaConfigurationTypeDescriptor$$Lambda/0x0000000038477cc8, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.LambdaConfigurationTypeDescriptor$$Lambda/0x000000003848d800, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.NamedConfigurationTypeDescriptor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ProxyConfigurationTypeDescriptor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.ProxyConfigurationTypeDescriptor$$Lambda/0x0000000038465000, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.ProxyConfigurationTypeDescriptor$$Lambda/0x00000000384678d8, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.ProxyConfigurationTypeDescriptor$$Lambda/0x0000000038467b00, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.ProxyConfigurationTypeDescriptor$$Lambda/0x000000003848d400, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.UnresolvedConfigurationCondition, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ConfigurationConditionPrintable, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ConfigurationMemberInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ConfigurationMemberInfo$ConfigurationMemberAccessibility, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ConfigurationMemberInfo$ConfigurationMemberAccessibility[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.config.ConfigurationMemberInfo$ConfigurationMemberDeclaration, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ConfigurationMemberInfo$ConfigurationMemberDeclaration[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.config.ConfigurationMemberInfo[], BUILD_TIME, arrays are initialized at build time
