GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.basquin.spike,Probe,11,31,0,2,3,6,3,5,3,4
JaCoCo Coverage Report,com.basquin.spike,MemProbe,35,0,0,0,8,0,3,0,3,0
JaCoCo Coverage Report,com.basquin.spike,BoundaryProbe,3,94,1,1,0,17,1,5,0,5
JaCoCo Coverage Report,com.basquin.spike,CoverageProbe,0,9,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,com.basquin.spike,NeverCalled,11,0,0,0,3,0,3,0,3,0
